代码,名称,类型,净值,日涨幅,近1月,近3月,近1年,规模亿,基金经理,评级,更新时间
000001,华夏成长混合,混合型,1.523,0.45,2.35,5.67,-8.23,45.6,张三,★★★★,2026-06-25
000011,华夏大盘精选,混合型,15.890,0.78,3.12,8.45,-5.67,128.5,李四,★★★★★,2026-06-25
110022,易方达消费行业,股票型,3.456,1.23,4.56,12.34,-3.21,256.8,王五,★★★★,2026-06-25
161725,招商中证白酒,指数型,1.234,1.56,5.67,15.67,-2.34,485.2,赵六,★★★★★,2026-06-25
005827,易方达蓝筹精选,混合型,2.156,0.89,3.45,9.87,-6.54,568.9,钱七,★★★★,2026-06-25
003095,中欧医疗健康,混合型,1.876,-0.34,-2.34,3.45,-15.67,234.5,葛兰,★★★,2026-06-25
000248,汇添富中证500,指数型,1.678,0.56,2.34,6.78,-4.56,89.3,孙八,★★★★,2026-06-25
005911,广发双擎升级,混合型,2.345,1.12,4.56,11.23,-7.89,156.7,刘九,★★★★,2026-06-25
001938,中欧时代先锋,混合型,1.567,0.67,3.21,7.89,-9.12,178.4,周十,★★★,2026-06-25
007339,易方达科技创新,混合型,1.234,1.89,6.78,18.90,5.67,67.8,吴十一,★★★★★,2026-06-25
