代码,名称,行业,最新价,涨跌幅,市值亿,PE,PB,ROE,股息率,推荐评级,更新时间
000001,平安银行,银行,10.25,-0.85,1987,4.5,0.52,12.3,4.2,买入,2026-06-25
000002,万科A,房地产,8.12,-1.23,936,8.2,0.35,5.1,3.8,持有,2026-06-25
000858,五粮液,白酒,145.30,1.56,5642,18.5,4.2,25.6,2.1,买入,2026-06-25
600519,贵州茅台,白酒,1680.00,0.85,21120,28.5,8.5,32.1,1.5,买入,2026-06-25
300750,宁德时代,新能源,210.50,2.34,9256,22.3,5.8,18.9,0.8,买入,2026-06-25
000333,美的集团,家电,65.80,0.92,4600,14.2,3.1,22.4,3.5,买入,2026-06-25
002594,比亚迪,汽车,260.00,3.12,7560,25.6,5.2,20.1,0.6,买入,2026-06-25
600036,招商银行,银行,35.60,-0.45,8980,6.2,0.95,15.8,5.1,买入,2026-06-25
000725,京东方A,电子,4.25,1.20,1620,35.8,1.2,4.5,0.3,持有,2026-06-25
300059,东方财富,证券,18.50,-0.65,2920,28.5,3.8,12.5,0.5,持有,2026-06-25
